build,commands,runtime,db_size,cache_size,cache_count
0,240,31.452735139988363,27840641,83913609,174
1,90,27.04481113300426,27856723,83914266,174
2,71,27.508239935035817,27859491,83914266,174
3,21,9.079457852989435,27867996,83920626,174
4,21,12.137371309974696,27881049,83941795,174
5,21,10.410317274974659,27891983,83941597,174
6,20,10.748859266983345,27907133,83941597,174
7,123,27.651957822963595,27881648,83898117,174
8,146,33.68761067499872,27848317,83898117,174
9,21,9.71708775596926,27870346,83890355,174
10,21,11.829403278999962,27884939,83893422,174
11,21,10.359929447993636,27900553,83894030,174
12,19,10.085905861051288,27905977,83894030,174
13,19,9.983478860987816,27906315,83894030,174
14,21,9.013077687995974,27908225,83891961,174
15,22,10.204262458952144,27915071,83891961,174
16,19,9.875652413989883,27919229,83891961,174
17,21,10.408449604990892,27927291,83892467,174
18,21,9.852353124006186,27943957,83891423,174
19,102,32.553001954976935,27861644,83891403,174
20,21,9.36517249699682,27876999,83894082,174
21,21,9.720798926020507,27894889,83894080,174
22,110,27.56230741197942,27870968,83901967,174
23,20,10.206526935042348,27890132,83901967,174
24,123,27.6461774079944,27870215,83924403,174
25,23,10.044109621958341,27891520,83924404,174
26,21,9.41989671997726,27906781,83923230,174
27,21,9.704854777955916,27922384,83923384,174
28,19,9.891587803023867,27927474,83923384,174
29,21,9.836553154978901,27938160,83922940,174
30,21,9.900918627972715,27956019,83916745,174
31,22,10.422700603026897,27956440,83915894,174
32,72,26.46319014497567,27880677,83915902,174
33,25,11.98303196800407,27899711,83920559,174
34,123,27.769536799984053,27872482,83922835,174
35,21,9.781930997036397,27893212,83923793,174
36,21,10.37438341602683,27909720,83924187,174
37,21,9.72234734002268,27925466,83926518,174
38,21,9.243135827011429,27940972,83938960,174
39,20,10.637282581999898,27956509,83938960,174
40,19,9.858512222999707,27961428,83938960,174
41,19,9.847860425012186,27961580,83938960,174
42,21,9.826388927991502,27957120,83940181,174
43,104,30.12619960901793,27872539,83868901,174
44,20,11.177754055010155,27892968,83868901,174
45,23,10.061822591000237,27910074,83868902,174
46,21,9.464264718990307,27926204,83869619,174
47,21,8.899346109945327,27941421,83868388,174
48,19,10.006750605010893,27946920,83868388,174
49,19,10.01017037697602,27947157,83868388,174
50,129,28.005818417994305,27883928,83895245,174
51,123,27.749899541027844,27892119,83915623,174
52,21,9.725886351021472,27910888,83918560,174
53,21,9.794754503993317,27911170,83921492,174
54,30,15.397380247013643,27929502,83921492,174
55,21,9.829139137989841,27929726,83921490,174
56,88,27.153764784976374,27896796,84161610,174
57,21,9.100863446015865,27915286,84161002,174
58,72,26.547097340982873,27900259,84169473,174
59,21,9.159347736043856,27917423,84169473,174
60,21,9.67314670496853,27932964,84171025,174
61,19,10.120351021003444,27937888,84171025,174
62,28,13.658909632998984,27950638,84170224,174
63,21,9.870655317034107,27967431,84170143,174
64,20,10.460209560988005,27984033,84170143,174
65,110,27.809278369997628,27897283,84186868,174
66,21,9.69533685100032,27917602,84186868,174
67,21,9.072881640982814,27932856,84192001,174
68,21,9.526892317982856,27949267,84195364,174
69,110,27.72742362000281,27898484,84188628,174
70,21,9.039924920012709,27916177,84189027,174
71,21,11.897742158966139,27927438,84189031,174
72,21,9.573663922958076,27943604,84190110,174
73,19,9.884071920008864,27949976,84190110,174
74,21,9.230952040990815,27960497,84191169,174
75,19,9.868348537012935,27965506,84191169,174
76,21,9.29532301099971,27961245,84191167,174
77,21,9.610322900989559,27960960,84199721,174
78,123,27.947867930983193,27910540,84240161,174
79,19,9.999737777980044,27917646,84240161,174
80,123,27.937222163018305,27910161,84264060,174
81,21,9.476593728002626,27928000,84265460,174
82,20,10.208932726003695,27944229,84265460,174
83,21,9.577850745001342,27960417,84265134,174
84,19,9.951137277996168,27966429,84265134,174
85,123,28.09425820899196,27910479,84265542,174
86,21,9.71575401298469,27929894,84269614,174
87,108,27.812668230035342,27913355,84269136,174
88,21,9.869024786981754,27932795,84268088,174
89,19,10.031356594990939,27938314,84268088,174
90,21,9.61752615304431,27948101,84268422,174
91,125,30.022740302956663,27899083,84305421,174
92,123,27.90676349500427,27913551,84323633,174
93,21,11.994994488020893,27916642,84328065,174
94,123,28.077275050978642,27913540,84329663,174
95,19,9.895485449000262,27922406,84329663,174
96,21,10.25172208697768,27933831,84330892,174
97,22,11.983763096970506,27950941,84330892,174
98,21,11.986829033994582,27951391,84330908,174
99,23,9.966826482035685,27967461,84329126,174
100,21,8.973507207992952,27982378,84327037,174
