build,commands,filtered_commands,runtime,audit_runtime
0,148,111,94.3029235380236,98.27307213796303
1,9,6,10.454965199984144,11.167309943004511
2,81,60,76.44111515703844,79.23556768300477
3,9,6,10.505547859997023,11.144483320997097
4,9,6,10.601973960991018,11.245747285021935
5,3,1,0.0033363939728587866,0.02248977095587179
6,93,69,86.12576119496953,89.26464590500109
7,33,24,33.83167196600698,35.429478728969116
8,29,21,34.81542785401689,36.24937515798956
9,3,1,0.003327039012219757,0.022492609976325184
10,9,6,5.456771789002232,6.036409071995877
11,113,84,91.08055909001268,94.37122742499923
12,9,6,10.568866684974637,11.346656041045208
13,89,66,85.07328331598546,88.3917067660368
14,117,87,91.40675754897529,94.69598094798857
15,65,48,54.06608578999294,56.19489513000008
16,3,1,0.0036546270130202174,0.023540186986792833
17,13,9,9.90317215299001,10.670339598960709
18,73,54,58.52050019503804,60.76514058501925
19,3,1,0.0036601779866032302,0.023885228030849248
20,33,24,21.258285320014693,22.466133417969104
21,73,54,58.631917108024936,60.87359357299283
22,13,9,11.628843254002277,12.420025945990346
23,105,78,84.22281192505034,87.34274851699593
24,41,30,39.67873728094855,41.177177385019604
25,17,12,4.551057317992672,5.185378523019608
26,3,1,0.003620030009187758,0.023229933984111995
27,9,6,6.375561502005439,6.983030767994933
28,105,78,84.13428072602255,87.30452213902026
29,105,78,84.07200292602647,87.40065964194946
30,3,1,0.0036799469962716103,0.023457101022358984
31,9,6,5.602893800009042,6.168367196980398
32,3,1,0.0036013239878229797,0.02351306297350675
33,3,1,0.0035569510073401034,0.023301608976908028
34,3,1,0.003575481998268515,0.023454077017959207
35,3,1,0.0036244959919713438,0.023332387034315616
36,3,1,0.003552576992660761,0.02306352200685069
37,3,1,0.003532715025357902,0.023107367975171655
38,3,1,0.0036590610397979617,0.023441514989826828
39,105,78,84.27066643600119,87.39828635996673
40,105,78,84.30266589397797,87.42640170099912
41,105,78,84.26763983804267,87.48297511797864
42,9,6,6.400661999010481,7.019012902048416
43,9,6,5.601304757990874,6.163480032992084
44,105,78,84.5213470539893,87.3886124510318
45,105,78,84.60912764200475,87.79609449900454
46,105,78,84.84103610401507,88.02448155096499
47,3,1,0.003664399031549692,0.023488651029765606
48,13,9,12.046915228944272,12.805279575986788
49,3,1,0.0036331579904071987,0.02360195101937279
50,57,42,46.27496264199726,48.0456218229956
51,9,6,6.5019206660217606,7.132566302025225
52,3,1,0.0035846440005116165,0.023130334971938282
53,9,6,5.758664430992212,6.315694443997927
54,9,6,6.504699777986389,7.079916882968973
55,9,6,1.4058894750196487,1.9111232190043665
56,77,57,66.79465728194918,69.32832047698321
57,101,75,78.98049886198714,81.82462395599578
58,37,27,30.104344164021313,31.3294903759961
59,33,24,27.753414164995775,29.00084675702965
60,13,9,6.192306505981833,6.873770244012121
61,17,12,20.849605290975887,21.822313073033
62,77,57,71.04223348305095,73.62529958802043
63,61,45,48.80929662002018,50.83639101003064
64,73,54,70.06762424099725,72.44223426299868
65,61,45,53.40998547000345,55.582958112994675
66,137,102,105.85274309798842,109.92967500700615
67,113,84,94.55644871201366,97.81182890903438
68,125,93,96.68610016204184,100.26227698405273
69,9,6,4.0755931489984505,4.636091954016592
70,137,102,105.51322050200542,109.38092484604567
71,3,1,0.004116566968150437,0.024913698027376086
72,3,1,0.004057404003106058,0.023769866966176778
73,3,1,0.004064692999236286,0.024045035999733955
74,109,81,93.47520946798613,96.71414081798866
75,3,1,0.0040937550365924835,0.02390467398799956
76,13,9,11.533201851008926,12.291238820005674
77,13,9,11.993741618003696,12.784075914998539
78,3,1,0.00412573799258098,0.023920912004541606
79,3,1,0.004088338988367468,0.024604347010608763
80,33,24,18.924049095017835,20.045695668959524
81,3,1,0.004205617005936801,0.02398608298972249
82,69,51,60.72001472202828,63.302699137013406
83,9,6,5.459917458996642,6.083487501018681
84,3,1,0.00420208799187094,0.02437115099746734
85,3,1,0.004141013021580875,0.02445989300031215
86,3,1,0.004164008016232401,0.024212122021708637
87,3,1,0.004156648006755859,0.024094267981126904
88,3,1,0.004152778012212366,0.024116261978633702
89,3,1,0.004089203022886068,0.024133690050803125
90,13,9,6.096704781986773,6.77326644398272
91,69,51,59.045947261038236,61.42724972899305
92,141,105,107.21547172201099,111.33785124402493
93,3,1,0.004169441992416978,0.024084492994006723
94,69,51,57.79665258101886,60.11623486300232
95,3,1,0.004182690987363458,0.024357611953746527
96,9,6,6.5205711660091765,7.1588689420023
97,65,48,54.19029597699409,56.3731988859945
98,141,105,108.0125318049686,111.74168736400316
99,3,1,0.004202007025014609,0.024482754000928253
100,3,1,0.004196474968921393,0.02420664601959288
