build,commands,runtime,db_size,cache_size,cache_count
0,358,34.38041914103087,17475062,31402050,381
1,93,33.34795457497239,17474591,34432526,382
2,93,33.34213660203386,17475063,34434495,382
3,93,34.05258359503932,17479962,34434882,382
4,93,62.408905149961356,17491968,34434882,382
5,92,34.07963966904208,17498383,34434972,382
6,93,33.35527613398153,17493934,34436462,382
7,156,34.26728233002359,17485050,34682670,383
8,94,33.333085911988746,17489831,34438687,382
9,93,33.34543195500737,17490515,34439044,382
10,93,34.32285747799324,17494235,34439144,382
11,93,33.31784391903784,17492551,34439547,382
12,93,33.3179740490159,17493108,34439704,382
13,93,33.33666615298716,17493108,34439699,382
14,93,33.31077991001075,17492996,34440098,382
15,93,33.32749314099783,17492958,34440982,382
16,93,33.29025298304623,17492958,34441050,382
17,93,34.10957733303076,17497846,34441088,382
18,93,33.357050781021826,17495027,34441548,382
19,93,34.019825229013804,17499915,34441822,382
20,94,62.958702172967605,17501722,34447862,382
21,92,34.05458881298546,17510580,34447862,382
22,92,34.09637579001719,17510580,34447862,382
23,93,34.411224362032954,17508380,34447864,382
24,93,33.33851658302592,17506356,34447374,382
25,92,34.116267561970744,17510991,34447222,382
26,93,34.43757083499804,17508324,34447271,382
27,92,34.175542984041385,17510991,34447271,382
28,92,34.15723438101122,17510991,34447271,382
29,92,34.0828988479916,17510991,34447271,382
30,92,34.124061415030155,17510991,34447271,382
31,95,33.33736413199222,17506236,34447796,382
32,93,33.33001754502766,17506356,34447788,382
33,95,34.181735950987786,17510789,34447794,382
34,92,33.27339189697523,17510567,34447803,382
35,92,34.06121084099868,17512048,34447803,382
36,92,34.10780323902145,17512048,34447803,382
37,92,34.19910917902598,17512048,34447803,382
38,92,34.158780316007324,17512010,34447832,382
39,92,34.06921351101482,17512010,34447832,382
40,95,33.39159572398057,17510235,34448025,382
41,92,34.1147614029469,17512567,34448025,382
42,92,34.09378542302875,17512567,34448025,382
43,92,33.299769720993936,17508616,34448057,382
44,92,34.18916412402177,17512567,34448254,382
45,93,34.10323417704785,17512820,34448299,382
46,92,34.19457163801417,17514079,34448299,382
47,93,34.44479154696455,17511412,34448473,382
48,92,34.095524746982846,17514079,34448473,382
49,92,34.03561616502702,17514446,34448528,382
50,93,34.37653390696505,17511779,34448824,382
51,92,34.07665747101419,17514079,34448824,382
52,92,34.0967597530107,17514079,34448824,382
53,92,34.10171766998246,17514079,34448824,382
54,154,34.306809820001945,17502708,34452382,382
55,93,34.10648563498398,17510688,34452814,382
56,93,34.420142579008825,17509043,34452924,382
57,92,34.19058269204106,17511343,34452924,382
58,93,33.40584735001903,17507301,34452923,382
59,93,34.4590107780532,17509233,34453180,382
60,93,34.14257290097885,17511245,34453180,382
61,93,33.29893233597977,17507542,34454756,382
62,92,34.0999830350047,17512069,34455100,382
63,93,33.33380440203473,17508099,34455355,382
64,93,34.413389246037696,17509959,34455409,382
65,92,34.179794392955955,17512626,34455409,382
66,92,34.04556847701315,17513107,34455411,382
67,97,33.552570535975974,17507170,34458214,382
68,93,33.37796158000128,17509074,34458507,382
69,92,34.19247818895383,17513691,34458363,382
70,107,33.73370679403888,17507387,34458947,382
71,93,34.07133274298394,17513368,34459131,382
72,93,33.33154064998962,17509352,34459377,382
73,92,34.06601422803942,17514023,34459377,382
74,93,33.30940509797074,17509296,34459744,382
75,93,33.38518333400134,17509296,34460077,382
76,93,33.341436048038304,17509853,34460338,382
77,93,33.33500263700262,17510524,34461863,382
78,92,34.057317701983266,17515582,34462119,382
79,93,33.421479029988404,17510410,34460626,382
80,92,34.25030420400435,17515137,34460370,382
81,96,33.49178867600858,17509720,34460698,382
82,93,34.44472250301624,17513488,34460829,382
83,93,33.329940027033444,17511416,34462427,382
84,92,34.093831840960775,17516438,34462721,382
85,92,34.082526469021104,17516033,34462721,382
86,92,34.10687463299837,17516033,34462721,382
87,93,33.37189396901522,17511973,34462781,382
88,93,34.07348272303352,17515935,34462781,382
89,93,33.33583223394817,17512680,34465058,382
90,93,33.35133329796372,17513237,34465775,382
91,154,34.185768278024625,17502748,34470092,382
92,93,33.441035280004144,17506820,34471330,382
93,93,33.36821061099181,17506784,34471221,382
94,92,34.15660182503052,17511365,34471173,382
95,92,34.111052446009126,17511365,34471173,382
96,93,33.33218546904391,17507341,34471385,382
97,93,33.429992871009745,17507858,34472786,382
98,93,33.30488070199499,17508044,34477903,382
99,93,34.09326427499764,17512581,34478063,382
100,92,34.08999153896002,17513236,34478063,382
