build,commands,runtime,db_size,cache_size,cache_count
0,222,6.0246359299635515,25077406,2233859,191
1,0,0.5575967659824528,25077406,2233859,191
2,0,0.5577847799868323,25077406,2233859,191
3,0,0.5572165600024164,25077406,2233859,191
4,0,0.5559279299923219,25077406,2233859,191
5,0,0.5566817320068367,25077406,2233859,191
6,0,0.5584151900256984,25077406,2233859,191
7,84,6.037747887952719,25179731,2233859,191
8,5,4.982305434998125,25165293,2233743,191
9,0,0.5676071210182272,25165293,2233743,191
10,1,2.334536254988052,25179482,2233743,191
11,0,0.5668388560297899,25179482,2233743,191
12,23,4.766125351015944,25166781,2234523,191
13,0,0.5665327500319108,25166781,2234523,191
14,0,0.5654967669979669,25166781,2234523,191
15,84,6.072082370985299,25183736,2234523,191
16,0,0.5675615269574337,25183736,2234523,191
17,0,0.5690627550357021,25183736,2234523,191
18,9,5.0828770799562335,25163847,2234645,191
19,143,8.74747025500983,25497853,2238338,191
20,11,5.284257038962096,25511400,2244025,191
21,72,5.564006422006059,25573671,2244025,191
22,4,2.571546189021319,25585063,2244025,191
23,0,0.5786947369924746,25585063,2244025,191
24,6,5.103956103965174,25582084,2244842,191
25,10,2.74965674104169,25594646,2244842,191
26,0,0.5767268430208787,25594646,2244842,191
27,87,8.30705708899768,25505297,2245042,191
28,72,5.558936286019161,25574770,2245042,191
29,24,5.792989983980078,25563878,2245051,191
30,3,4.105626069998834,25573450,2245052,191
31,2,2.361681806971319,25578567,2245052,191
32,7,2.7270079270238057,25598442,2245052,191
33,2,2.3662814080016688,25604816,2245052,191
34,0,0.5770325179910287,25604816,2245052,191
35,3,4.135217842995189,25612841,2245192,191
36,0,0.5759731970028952,25612841,2245192,191
37,3,2.4588201500009745,25623865,2245192,191
38,1,2.3868918570224196,25638213,2245192,191
39,2,2.402993113035336,25649523,2245192,191
40,1,2.4032236479688436,25661329,2245192,191
41,0,0.5788843220216222,25661329,2245192,191
42,0,0.5780109449988231,25661329,2245192,191
43,1,2.401656007976271,25672939,2245192,191
44,2,2.374914510990493,25682970,2245192,191
45,16,3.091649564972613,25642622,2245192,191
46,0,0.5763099429896101,25642622,2245192,191
47,0,0.5799309010035358,25642622,2245192,191
48,143,8.776501965941861,25529943,2237470,191
49,77,8.217491437040735,25537092,2239167,191
50,87,8.333026992972009,25536764,2237693,191
51,0,0.568037764984183,25536764,2237693,191
52,3,4.098632736015134,25550682,2237693,191
53,12,2.9762665840098634,25546661,2237693,191
54,3,4.099615155952051,25551579,2237639,191
55,23,4.774473119003233,25527115,2237885,191
56,3,4.100383817974944,25541697,2237887,191
57,16,4.7214971740031615,25528375,2237646,191
58,7,4.211687343020458,25542564,2237525,191
59,1,2.349168059998192,25557527,2237525,191
60,0,0.5692426749737933,25557527,2237525,191
61,0,0.5685816319892183,25557527,2237525,191
62,1,2.3762715160264634,25574737,2237525,191
63,0,0.5701520550064743,25574737,2237525,191
64,0,0.5692119440063834,25574737,2237525,191
65,0,0.5697062260005623,25574737,2237525,191
66,0,0.5686674470198341,25574737,2237525,191
67,0,0.5690679540275596,25574737,2237525,191
68,0,0.5696447030059062,25574737,2237525,191
69,0,0.567843152966816,25574737,2237525,191
70,0,0.5682354820310138,25574737,2237525,191
71,96,8.046664719993714,25576330,2236929,191
72,7,4.156768896034919,25592030,2236795,191
73,0,0.5688469660235569,25592030,2236795,191
74,3,4.073331021005288,25607611,2236764,191
75,1,2.354114098008722,25609010,2236764,191
76,0,0.5694504089769907,25609010,2236764,191
77,5,5.041426631971262,25619265,2238314,191
78,84,6.2146272489917465,25674585,2238314,191
79,2,3.2112514849868603,25604845,2238314,191
80,0,0.5758227159967646,25604845,2238314,191
81,0,0.576482514035888,25604845,2238314,191
82,0,0.578923722030595,25604845,2238314,191
83,0,0.5760979360202327,25604845,2238314,191
84,0,0.5765393070178106,25604845,2238314,191
85,0,0.5769562789937481,25604845,2238314,191
86,0,0.5786854469915852,25604845,2238314,191
87,0,0.5780811780132353,25604845,2238314,191
88,0,0.578260431997478,25604845,2238314,191
89,0,0.5772227569832467,25604845,2238314,191
90,1,2.3763771369704045,25619278,2238314,191
91,0,0.5780324399820529,25619278,2238314,191
92,0,0.5774863559636287,25619278,2238314,191
93,0,0.5776261660503224,25619278,2238314,191
94,0,0.577394477033522,25619278,2238314,191
95,0,0.5764775520074181,25619278,2238314,191
96,0,0.5799884509760886,25619278,2238314,191
97,0,0.5768495989614166,25619278,2238314,191
98,0,0.5774515650118701,25619278,2238314,191
99,0,0.5781464979518205,25619278,2238314,191
100,90,8.029940761975013,25539274,2238314,191
