build,commands,runtime,db_size,cache_size,cache_count
0,235,9.386094224988483,25772698,2233859,191
1,0,0.626979086024221,25772698,2233859,191
2,0,0.6264618679997511,25772698,2233859,191
3,0,0.6382142869988456,25772698,2233859,191
4,0,0.6232209639856592,25772698,2233859,191
5,0,0.625289015006274,25772698,2233859,191
6,0,0.627829704026226,25772698,2233859,191
7,84,8.850722122006118,25868945,2233859,191
8,5,5.782293542986736,25854716,2233743,191
9,0,0.633542130002752,25854716,2233743,191
10,1,2.7082869820296764,25868839,2233743,191
11,0,0.6366885959869251,25868839,2233743,191
12,23,5.75824759399984,25856853,2234523,191
13,0,0.6318629719899036,25856853,2234523,191
14,0,0.6313571429927833,25856853,2234523,191
15,84,8.901849841990042,25872872,2234523,191
16,0,0.6352101659867913,25872872,2234523,191
17,0,0.6370161739760078,25872872,2234523,191
18,9,5.955153217946645,25853336,2234645,191
19,143,11.781776149990037,26192700,2238338,191
20,11,6.21391378401313,26206181,2244025,191
21,72,8.074311470030807,26263202,2244025,191
22,4,3.026870559027884,26274528,2244025,191
23,0,0.6464853729703464,26274528,2244025,191
24,6,5.965879284020048,26271627,2244842,191
25,10,3.384196589991916,26284123,2244842,191
26,0,0.6460771810379811,26284123,2244842,191
27,87,11.305381817976013,26199946,2245042,191
28,72,8.045852301991545,26264169,2245042,191
29,24,7.030763651011512,26254219,2245051,191
30,3,4.732511756999884,26263558,2245052,191
31,3,2.734623132040724,26269144,2245052,191
32,7,3.2806734800105914,26288989,2245052,191
33,3,2.756834438012447,26296151,2245052,191
34,0,0.6433058810071088,26296151,2245052,191
35,3,4.810815522039775,26303881,2245192,191
36,0,0.6406226429971866,26303881,2245192,191
37,3,2.905803865985945,26314839,2245192,191
38,1,2.7435960189905018,26329121,2245192,191
39,2,2.8059861790388823,26340365,2245192,191
40,1,2.7795004110084847,26352105,2245192,191
41,0,0.6467377520166337,26352105,2245192,191
42,0,0.6453980500227772,26352105,2245192,191
43,1,2.782256157952361,26363649,2245192,191
44,3,2.7798842070042156,26378128,2245192,191
45,18,3.8813617209671065,26338365,2245192,191
46,0,0.643030731996987,26338365,2245192,191
47,0,0.6476405350258574,26338365,2245192,191
48,143,11.819685559021309,26230557,2237470,191
49,77,11.196054735977668,26237640,2239167,191
50,87,11.301111166016199,26237246,2237693,191
51,0,0.6412393330247141,26237246,2237693,191
52,3,4.7723844919819385,26251033,2237693,191
53,12,3.683464522997383,26246831,2237693,191
54,3,4.775765886006411,26251821,2237639,191
55,23,5.792034441023134,26228281,2237885,191
56,3,4.752463970973622,26242797,2237887,191
57,16,5.719781359017361,26229475,2237646,191
58,7,4.951489484054036,26243598,2237525,191
59,1,2.7246307759778574,26258423,2237525,191
60,0,0.638345345039852,26258423,2237525,191
61,0,0.6391531159752049,26258423,2237525,191
62,1,2.76022054097848,26275495,2237525,191
63,0,0.6376970729907043,26275495,2237525,191
64,0,0.6422168989665806,26275495,2237525,191
65,0,0.6363823040155694,26275495,2237525,191
66,0,0.6360766830039211,26275495,2237525,191
67,0,0.6400450699729845,26275495,2237525,191
68,0,0.6365436940104701,26275495,2237525,191
69,0,0.635582736984361,26275495,2237525,191
70,0,0.6357373140053824,26275495,2237525,191
71,96,11.27046007401077,26277633,2236929,191
72,9,4.93282873602584,26296984,2236795,191
73,0,0.63999158795923,26296984,2236795,191
74,3,4.7525500020128675,26312325,2236764,191
75,1,2.7300196359865367,26313586,2236764,191
76,0,0.6401335690170527,26313586,2236764,191
77,5,5.881563517032191,26324007,2238314,191
78,84,9.074086982000154,26373351,2238314,191
79,2,3.7036925820284523,26303629,2238314,191
80,0,0.6462353129754774,26303629,2238314,191
81,0,0.6507690100115724,26303629,2238314,191
82,0,0.6447015790035948,26303629,2238314,191
83,0,0.6450734820100479,26303629,2238314,191
84,0,0.6475579849793576,26303629,2238314,191
85,0,0.6431899560266174,26303629,2238314,191
86,0,0.6493654599762522,26303629,2238314,191
87,0,0.6450855970033444,26303629,2238314,191
88,0,0.6451472089975141,26303629,2238314,191
89,0,0.6456221370026469,26303629,2238314,191
90,1,2.750284288020339,26317996,2238314,191
91,0,0.653364074009005,26317996,2238314,191
92,0,0.6458871160284616,26317996,2238314,191
93,0,0.6454322430072352,26317996,2238314,191
94,0,0.6479439809918404,26317996,2238314,191
95,0,0.6454633999965154,26317996,2238314,191
96,0,0.6439488989999518,26317996,2238314,191
97,0,0.648939524020534,26317996,2238314,191
98,0,0.643283782992512,26317996,2238314,191
99,0,0.6445130030042492,26317996,2238314,191
100,90,11.247779291006736,26244106,2238314,191
