program,build_tool,full_build,incremental_build,savings
vim,Default,7120.678566399874,1033.42489018997,0.8548698862680925
vim,Riker,7120.678566399874,1752.5889470962575,0.7538733239039683
redis,Default,2261.654884299969,521.551284243993,0.7693939566710576
redis,Riker,2261.654884299969,577.5241207743529,0.7446453370125438
sqlite,Default,6990.145385000142,6959.686042757992,0.004357469060301766
sqlite,Riker,6990.145385000142,7283.466528717021,-0.04196209485804192
xz,Default,428.73155669658445,63.27406710688956,0.8524156523620001
xz,Riker,428.73155669658445,138.78919644339476,0.676279494066688
memcached,Default,847.2643401399728,210.4011208460106,0.7516700386431333
memcached,Riker,847.2643401399728,389.3034476666944,0.6921464794640193
riker,Default,9030.460998200033,3127.679363973999,0.6536523036202234
riker,Riker,9030.460998200033,3266.619533279096,0.6382665808611316
