program,default_time,rkr_time,overhead,difference
protobuf,577.7882,627.9022,0.08673420467915416,50.11400000000003
xz,4.2924,4.8809,0.13710278632000739,0.5884999999999998
riker,111.1516,112.4211,0.011421338064409259,1.2694999999999936
vim,65.5691,69.8629,0.06548511417725722,4.29379999999999
memcached,10.7205,11.5638,0.07866237582202329,0.843300000000001
coreutils,41.0674,75.6437,0.841940322494241,34.576299999999996
sqlite,71.4559,74.4903,0.04246535275603569,3.034400000000005
lsof,2.1818,2.6358,0.20808506737556165,0.4540000000000002
autoconf,0.6261,1.225,0.9565564606292927,0.5989000000000001
make,4.9776,6.211,0.24779009964641596,1.2334000000000005
lua,4.7047,5.4064,0.14914872361680875,0.7016999999999998
llvm,4612.83,4789.47,0.03829319528358943,176.64000000000033
calc,13.2301,14.4083,0.08905450450109975,1.1782000000000004
redis,24.9127,26.074,0.046614778807596124,1.1613000000000007
