program,default_time,rkr_time,overhead,difference
protobuf,0.1125,5.7485,50.09777777777778,5.636
xz,0.0772,0.4015,4.200777202072539,0.32430000000000003
riker,0.0043,0.1253,28.13953488372093,0.121
vim,0.0096,0.6889,70.76041666666667,0.6792999999999999
memcached,0.0638,0.2462,2.858934169278997,0.1824
coreutils,0.4424,1.8291,3.1344936708860756,1.3866999999999998
sqlite,0.0103,0.1268,11.310679611650485,0.11649999999999999
lsof,0.0919,0.1115,0.21327529923830268,0.019600000000000006
autoconf,0.0469,0.0541,0.1535181236673775,0.007200000000000005
make,0.0506,0.1922,2.798418972332016,0.1416
lua,0.0078,0.0795,9.192307692307693,0.0717
llvm,4.846,12.793,1.6399092034667766,7.946999999999999
calc,0.0469,0.1423,2.034115138592751,0.09540000000000001
xz-clang,0.0772,0.0967,0.2525906735751293,0.01949999999999999
redis,0.0372,0.4297,10.551075268817206,0.3925
